Product,Theme/Deck,Card Name,Set Code,Quantity
Legendary Modern Decks 2026,Sky Striker,Sky Striker Airspace - Area Zero,L26D-ENS01,1
Legendary Modern Decks 2026,Sky Striker,Lightning Storm,L26D-ENS02,2
Legendary Modern Decks 2026,Sky Striker,Triple Tactics Talent,L26D-ENS03,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Mobilize - Linkage!,L26D-ENS04,3
Legendary Modern Decks 2026,Sky Striker,Triple Tactics Thrust,L26D-ENS05,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Special Maneuver - Lemnisgate!,L26D-ENS06,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace - Kagari,L26D-ENS07,2
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace - Shizuku,L26D-ENS08,2
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace - Hayate,L26D-ENS09,2
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace - Kaina,L26D-ENS10,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace - Zeke,L26D-ENS11,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace - Azalea,L26D-ENS12,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace - Camellia,L26D-ENS13,1
Legendary Modern Decks 2026,Sky Striker,Surgical Striker - S.P.E.C.T.R.A.,L26D-ENS14,1
Legendary Modern Decks 2026,Sky Striker,Combined Maneuver - Engage Zero!,L26D-ENS15,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace = Zero,L26D-ENS16,1
Legendary Modern Decks 2026,Sky Striker,Prototype Sky Striker Ace - Amatsu,L26D-ENS17,1
Legendary Modern Decks 2026,Sky Striker,Sky Striker Ace Token,L26D-ENS18,1
Legendary Modern Decks 2026,X-Saber,X-Saber Airbellum,L26D-ENX19,1
Legendary Modern Decks 2026,X-Saber,X-Saber Palomuro,L26D-ENX20,1
Legendary Modern Decks 2026,X-Saber,X-Saber Pashuul,L26D-ENX21,1
Legendary Modern Decks 2026,X-Saber,XX-Saber Faultroll,L26D-ENX22,3
Legendary Modern Decks 2026,X-Saber,XX-Saber Ragigura,L26D-ENX23,1
Legendary Modern Decks 2026,X-Saber,XX-Saber Fulhelmknight,L26D-ENX24,1
Legendary Modern Decks 2026,X-Saber,XX-Saber Garsem,L26D-ENX25,2
